ID,Newspaper,Link
73,el_pais,https://elpais.com/us/2024-12-22/los-angeles-la-ciudad-con-mas-muertos-de-nadie.html
74,el_pais,https://elpais.com/television/2024-12-22/apocalipsis-portatiles.html
75,el_pais,https://elpais.com/espana/madrid/2024-12-21/donde-viven-los-argentinos-en-madrid.html
76,el_pais,https://elpais.com/us/2024-12-20/el-gobierno-de-biden-deporto-la-cifra-mas-alta-de-inmigrantes-en-una-decada.html
77,el_pais,https://elpais.com/espana/madrid/2024-12-20/si-los-latinos-de-madrid-formaran-una-ciudad-esta-seria-casi-tan-grande-como-malaga-y-superaria-a-bilbao-o-zaragoza.html
78,el_pais,https://elpais.com/espana/2024-12-20/espana-prepara-una-ley-para-restringir-el-asilo-y-adaptarse-a-la-union-europea.html
79,el_pais,https://elpais.com/us/migracion/2024-12-20/si-cruzas-a-texas-ilegalmente-lo-lamentaras-para-siempre-greg-abbott-lanza-una-campana-publicitaria-en-mexico-y-centroamerica-para-disuadir-la-inmigracion.html
80,el_pais,https://elpais.com/us/migracion/2024-12-20/organizaciones-pro-migrantes-en-nueva-york-anuncian-una-estrategia-de-autodefensa-ante-la-vuelta-de-trump.html
81,el_pais,https://elpais.com/espana/madrid/2024-12-20/madrid-llega-ya-al-millon-de-latinos-uno-de-cada-siete-habitantes.html
82,el_pais,https://elpais.com/espana/2024-12-20/una-region-entre-nosotras.html
83,el_pais,https://elpais.com/us/2024-12-19/la-inmigracion-impulsa-el-mayor-crecimiento-demografico-de-estados-unidos-en-mas-de-20-anos.html
84,el_pais,https://elpais.com/america-colombia/2024-12-19/el-aumento-de-las-solicitudes-de-asilo-de-colombianos-en-alemania-tensa-las-relaciones-entre-bogota-y-berlin.html
85,el_pais,https://elpais.com/us/2024-12-19/el-corto-parole-palabra-magica-para-la-migracion-hacia-estados-unidos-pone-cara-al-exilio-cubano.html
86,el_pais,https://elpais.com/us/2024-12-19/40-personas-desaparecidas-en-el-mar-estados-unidos-acusa-a-dos-colombianos-por-una-red-de-trafico-de-migrantes.html
87,el_pais,https://elpais.com/opinion/2024-12-19/la-europa-de-la-verguenza.html
88,el_pais,https://elpais.com/us/2024-12-18/trump-no-quiere-que-fragmentos-de-su-muro-fronterizo-se-vendan-como-chatarra.html
89,el_pais,https://elpais.com/us/migracion/2024-12-18/record-de-naturalizaciones-y-caos-fronterizo-los-claroscuros-de-la-politica-migratoria-de-biden.html
90,el_pais,https://elpais.com/us/migracion/2024-12-17/el-censo-incluira-a-beneficiarios-del-parole-humanitario-en-su-recuento-de-inmigrantes.html
91,el_pais,https://elpais.com/us/migracion/2024-12-17/las-organizaciones-pro-migrantes-se-movilizan-contra-la-deportacion-masiva-de-trump.html
92,el_pais,https://elpais.com/us/migracion/2024-12-17/asi-opero-la-politica-de-separacion-de-familias-del-primer-gobierno-de-trump-que-espanto-al-mundo.html
93,el_pais,https://elpais.com/us/2024-12-16/ansiedad-miedo-e-incertidumbre-los-abogados-reciben-una-avalancha-de-migrantes-preocupados-por-las-promesas-de-trump.html
